,feature,importance,feature_type
188,homogeneity_20170101T082332_B03,3,homogeneity_B03
189,homogeneity_20170101T082332_B04,1,homogeneity_B04
190,homogeneity_20170101T082332_B08,8,homogeneity_B08
191,homogeneity_20170131T082151_B02,1,homogeneity_B02
192,homogeneity_20170131T082151_B03,4,homogeneity_B03
193,homogeneity_20170131T082151_B04,6,homogeneity_B04
194,homogeneity_20170131T082151_B08,2,homogeneity_B08
195,homogeneity_20170210T082051_B02,5,homogeneity_B02
196,homogeneity_20170210T082051_B03,5,homogeneity_B03
197,homogeneity_20170210T082051_B04,0,homogeneity_B04
198,homogeneity_20170210T082051_B08,0,homogeneity_B08
199,homogeneity_20170312T082001_B02,2,homogeneity_B02
200,homogeneity_20170312T082001_B03,2,homogeneity_B03
201,homogeneity_20170312T082001_B04,2,homogeneity_B04
202,homogeneity_20170312T082001_B08,18,homogeneity_B08
203,homogeneity_20170322T081611_B02,8,homogeneity_B02
204,homogeneity_20170322T081611_B03,10,homogeneity_B03
205,homogeneity_20170322T081611_B04,8,homogeneity_B04
206,homogeneity_20170322T081611_B08,14,homogeneity_B08
207,homogeneity_20170531T082011_B02,5,homogeneity_B02
208,homogeneity_20170531T082011_B03,20,homogeneity_B03
209,homogeneity_20170531T082011_B04,5,homogeneity_B04
210,homogeneity_20170531T082011_B08,4,homogeneity_B08
211,homogeneity_20170620T082011_B02,4,homogeneity_B02
212,homogeneity_20170620T082011_B03,1,homogeneity_B03
213,homogeneity_20170620T082011_B04,8,homogeneity_B04
214,homogeneity_20170620T082011_B08,15,homogeneity_B08
215,homogeneity_20170710T082011_B02,3,homogeneity_B02
216,homogeneity_20170710T082011_B03,2,homogeneity_B03
217,homogeneity_20170710T082011_B04,3,homogeneity_B04
218,homogeneity_20170710T082011_B08,1,homogeneity_B08
219,homogeneity_20170715T081609_B02,5,homogeneity_B02
220,homogeneity_20170715T081609_B03,8,homogeneity_B03
221,homogeneity_20170715T081609_B04,2,homogeneity_B04
222,homogeneity_20170715T081609_B08,18,homogeneity_B08
223,homogeneity_20170804T081559_B02,2,homogeneity_B02
224,homogeneity_20170804T081559_B03,1,homogeneity_B03
225,homogeneity_20170804T081559_B04,2,homogeneity_B04
226,homogeneity_20170804T081559_B08,0,homogeneity_B08
227,homogeneity_20170819T082011_B02,1,homogeneity_B02
228,homogeneity_20170819T082011_B03,3,homogeneity_B03
229,homogeneity_20170819T082011_B04,3,homogeneity_B04
230,homogeneity_20170819T082011_B08,1,homogeneity_B08
231,max_20170101T082332_B02,10,max_B02
232,max_20170101T082332_B03,2,max_B03
233,max_20170101T082332_B04,4,max_B04
234,max_20170101T082332_B05,8,max_B05
235,max_20170101T082332_B06,14,max_B06
